#{"t_start": 1784985745.947574, "env_id": "None"}
r,l,t,success,caught_by_robot_2,caught_by_robot_1,forced_release_robot_1,forced_release_robot_2
-27.427117,362,452.782636,False,False,False,False,False
53.695001,654,453.791097,False,True,False,False,False
47.907466,685,454.855494,False,True,False,False,False
-27.096967,360,455.416518,False,False,False,False,False
-24.126876,341,455.961391,False,False,False,False,False
53.138329,641,456.991484,False,True,False,False,False
-48.589482,361,457.556303,False,False,False,False,False
-22.145378,317,458.068577,False,False,False,False,False
-31.118721,297,458.547725,False,False,False,False,False
-25.629619,304,459.210404,False,False,False,False,False
53.489585,657,460.241577,False,True,False,False,False
52.324321,641,461.241565,False,True,False,False,False
-21.151704,333,461.756114,False,False,False,False,False
77.651638,755,463.037375,False,True,False,False,False
-27.32587,359,463.600399,False,False,False,False,False
53.906564,662,464.624572,False,True,False,False,False
54.057186,654,465.84169,False,True,False,False,False
52.529575,639,466.828132,False,True,False,False,False
52.887372,649,467.876574,False,True,False,False,False
-31.296981,296,468.339197,False,False,False,False,False
47.248774,738,469.624655,False,True,False,False,False
-26.331437,305,470.090835,False,False,False,False,False
-25.845345,346,470.637904,False,False,False,False,False
-26.535323,305,471.104987,False,False,False,False,False
-27.906559,359,471.662391,False,False,False,False,False
-22.148502,317,472.346434,False,False,False,False,False
-35.27291,365,472.943371,False,False,False,False,False
-34.336968,361,473.641848,False,False,False,False,False
50.273676,664,474.764261,False,True,False,False,False
-24.008195,341,475.325767,False,False,False,False,False
-36.115428,360,476.006303,False,False,False,False,False
-69.890168,338,476.539939,False,False,False,False,False
-23.399368,318,477.036293,False,False,False,False,False
96.401891,765,478.273708,False,True,False,False,False
-26.448124,305,478.739823,False,False,False,False,False
53.832307,659,480.115848,False,True,False,False,False
