#{"t_start": 1784893584.981098, "env_id": "None"}
r,l,t
17.15267,336,128.178384
16.347271,321,128.290706
18.420991,358,128.416864
18.420991,358,128.589529
14.291304,283,128.686604
118.102002,363,128.813226
15.597335,307,128.918557
18.760608,361,129.108413
18.40536,352,129.229815
17.15267,336,129.392914
16.347271,321,129.504477
18.420991,358,129.628867
17.755907,337,129.746567
17.755907,337,129.920539
118.102002,363,130.053854
16.915316,318,130.187172
18.760608,361,130.364922
17.924732,350,130.486601
16.915316,318,130.597154
17.15267,336,130.762305
16.915316,318,130.872211
18.40536,352,130.993952
18.760608,361,131.166917
18.40536,352,131.288394
18.40536,352,131.457768
18.420991,358,131.582236
18.40536,352,131.703474
118.102002,363,131.876777
17.755907,337,131.993489
17.15267,336,132.109627
16.915316,318,132.26584
118.102002,363,132.392365
16.347271,321,132.502933
18.760608,361,132.674906
17.924732,350,132.797017
16.915316,318,132.906304
18.420991,358,133.095105
16.347271,321,133.205985
18.420991,358,133.330058
17.15267,336,134.751549
16.347271,321,134.863269
18.420991,358,134.989215
17.15267,336,135.154516
18.760608,361,135.279919
18.420991,358,135.404703
118.102002,363,135.580026
118.102002,363,135.707083
17.15267,336,135.823945
18.420991,358,135.997902
17.924732,350,136.120453
18.420991,358,136.24439
17.924732,350,136.414439
118.102002,363,136.540342
18.40536,352,136.661721
118.102002,363,136.83571
118.102002,363,136.961756
17.924732,350,137.083419
17.924732,350,137.25294
18.40536,352,137.374689
118.102002,363,137.500284
14.895791,294,137.649265
18.760608,361,137.788882
118.102002,363,137.914243
118.102002,363,138.126606
18.420991,358,138.263797
18.760608,361,138.395825
18.760608,361,138.568445
18.420991,358,138.694021
18.420991,358,138.865333
12.688759,256,138.952869
118.102002,363,139.078661
118.102002,363,139.251493
17.924732,350,139.37383
18.40536,352,139.495038
118.102002,363,139.673117
17.924732,350,139.808424
18.760608,361,139.950179
18.760608,361,140.128258
17.924732,350,140.250118
18.420991,358,140.375729
17.924732,350,140.546164
17.924732,350,140.669288
15.361798,280,140.765358
18.420991,358,140.955231
18.40536,352,141.0774
18.760608,361,141.20196
18.420991,358,141.379375
118.102002,363,141.51292
17.924732,350,141.650705
18.420991,358,141.826652
16.915316,318,141.937646
18.420991,358,142.062241
118.102002,363,142.234545
18.760608,361,142.359409
17.924732,350,142.480796
17.15267,336,142.643839
118.102002,363,143.961724
18.40536,352,144.084491
118.102002,363,144.258119
18.420991,358,144.383301
18.760608,361,144.50866
118.102002,363,144.684623
18.760608,361,144.811288
17.15267,336,144.99561
18.760608,361,145.123075
18.760608,361,145.248559
118.102002,363,145.423596
118.102002,363,145.550085
118.102002,363,145.676622
16.347271,321,145.843025
18.420991,358,145.97576
18.760608,361,146.110312
118.102002,363,146.286887
16.347271,321,146.398532
118.102002,363,146.525226
18.420991,358,146.699515
17.924732,350,146.821812
118.102002,363,146.947984
17.924732,350,147.118962
18.760608,361,147.258579
118.102002,363,147.385035
17.924732,350,147.555394
17.924732,350,147.677337
18.420991,358,147.802292
18.760608,361,147.975819
18.760608,361,148.104373
18.420991,358,148.306048
18.40536,352,148.436264
17.15267,336,148.554057
118.102002,363,148.742417
118.102002,363,148.8697
118.102002,363,148.995684
18.420991,358,149.168109
118.102002,363,149.29433
18.760608,361,149.418834
18.420991,358,149.591588
18.40536,352,149.714951
118.102002,363,149.840843
18.420991,358,150.014285
18.760608,361,150.139617
18.760608,361,150.280327
18.760608,361,150.455218
17.755907,337,150.576419
118.102002,363,150.711446
16.915316,318,150.904693
18.420991,358,151.030648
18.760608,361,151.156262
18.760608,361,151.330434
118.102002,363,151.455834
18.420991,358,151.627182
18.420991,358,151.751736
18.760608,361,151.877565
18.760608,361,153.255904
18.760608,361,153.398979
18.760608,361,153.525411
18.420991,358,153.69853
17.924732,350,153.821574
118.102002,363,153.947946
118.102002,363,154.124047
18.760608,361,154.249938
18.760608,361,154.375271
18.760608,361,154.549384
14.291304,283,154.646809
18.760608,361,154.772949
18.420991,358,154.945347
18.420991,358,155.070879
17.924732,350,155.196662
118.102002,363,155.370265
17.924732,350,155.493658
17.15267,336,155.610606
118.102002,363,155.785978
18.760608,361,155.911624
118.102002,363,156.038795
118.102002,363,156.216471
118.102002,363,156.353156
118.102002,363,156.569764
18.760608,361,156.70105
18.420991,358,156.825034
17.755907,337,156.991155
118.102002,363,157.117369
118.102002,363,157.242708
118.102002,363,157.418959
18.760608,361,157.543765
18.760608,361,157.668395
18.760608,361,157.841129
18.760608,361,157.965501
118.102002,363,158.090644
18.420991,358,158.270249
18.420991,358,158.401869
18.420991,358,158.54796
18.420991,358,158.722283
118.102002,363,158.849777
118.102002,363,159.022387
118.102002,363,159.14845
118.102002,363,159.274923
118.102002,363,159.447901
18.420991,358,159.572221
118.102002,363,159.699658
17.924732,350,159.869025
17.15267,336,159.985534
17.755907,337,160.101434
18.420991,358,160.273481
17.924732,350,160.395211
17.924732,350,160.516669
118.102002,363,160.690614
17.15267,336,160.806388
18.40536,352,160.92748
18.760608,361,161.100325
18.420991,358,161.224839
118.102002,363,162.608378
18.760608,361,162.782461
18.760608,361,162.906982
17.924732,350,163.028712
17.924732,350,163.209229
17.15267,336,163.33334
17.15267,336,163.461514
18.420991,358,163.685325
118.102002,363,163.812491
118.102002,363,163.939639
18.40536,352,164.10947
18.420991,358,164.234061
17.924732,350,164.402982
118.102002,363,164.530018
118.102002,363,164.664219
17.924732,350,164.83994
17.924732,350,164.962356
118.102002,363,165.088296
118.102002,363,165.261797
118.102002,363,165.387693
118.102002,363,165.512955
118.102002,363,165.686416
18.760608,361,165.810826
18.760608,361,165.935447
18.760608,361,166.108338
17.15267,336,166.22441
118.102002,363,166.349695
18.420991,358,166.521714
118.102002,363,166.647508
118.102002,363,166.773224
118.102002,363,166.946731
18.760608,361,167.070876
18.760608,361,167.251129
118.102002,363,167.388516
17.924732,350,167.519977
118.102002,363,167.714731
17.924732,350,167.837959
18.40536,352,167.959296
